Country,Province,City,Data Start Date,Mape,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Internal Parameter 1,Internal Parameter 2
Brasil,RO,Estado,2020-04-18,46.71392364564781,1.9999999999997828,-0.8506831056924979,1.0000000000038591,0.050000000003955235,0.020057675528001587,0.10000000000880194,0.10000000000066683
Brasil,AC,Estado,2020-04-15,29.134908622334812,1.999999999999385,-3.9641532633179897,1.0000000000000675,0.05000000000109325,0.02058628764743961,0.1000000000000651,0.10000000000071654
Brasil,AM,Estado,2020-03-28,45.25239846276932,1.9999999999968583,0.9646582480906126,1.0000000000007372,0.050000000000047264,0.031143190732012726,0.10000000000646678,0.10000000000029834
Brasil,RR,Estado,2020-04-14,53.1706769145291,1.9999999999906557,0.41694501008553525,1.0000000000000977,0.05000000000301749,0.01283072706677514,0.10000000000183681,0.10000000000050163
Brasil,PA,Estado,2020-04-06,25.172311645155062,1.9999999999997806,2.227315564748095,1.0000000000009595,0.49999999986515187,0.026116630801213743,0.10000000000014818,0.10000000000218996
Brasil,AP,Estado,2020-04-08,33.70825928928046,1.999999999997763,-1.2958370000697783,1.0000000000009517,0.050000000000860266,0.014485786612847006,0.10000000000025977,0.10000000000032563
Brasil,TO,Estado,2020-04-29,47.68172905720512,1.9999999999999283,-1.3134131116931052,1.0000000000001117,0.050000000000372594,0.014461720602392968,0.10000000000112481,0.10000000000212692
Brasil,MA,Estado,2020-04-06,49.86992280278616,1.9999999999979863,8.990942109363944,1.000000000000066,0.05000000000026433,0.02362480859177381,0.10000000000192028,0.10000000000053266
Brasil,PI,Estado,2020-04-17,85.16683967075491,1.9999999999936808,7.437160597832282,1.0000000000001479,0.05000000000024667,0.02161183371235177,0.10000000000401749,0.10000000000199674
Brasil,CE,Estado,2020-03-22,54.07319620333935,1.999999999999947,5.3496015032342195,1.0000000000002636,0.05000000000006636,0.033447850246655336,0.10000000000406287,0.10000000000008681
Brasil,RN,Estado,2020-04-02,93.42769139805188,1.999999999999195,2.9059276725862158,1.0000000000000402,0.050000000000827945,0.02831665505194415,0.10000000000494125,0.1000000000024392
Brasil,PB,Estado,2020-04-12,97.75524545558626,1.999999999999951,9.999999999956277,1.0000000000009306,0.05000000000008018,0.023600430361027904,0.10000000077185153,0.8191972350758677
Brasil,PE,Estado,2020-04-02,44.86177576952349,1.9999999999987903,6.837453886127491,1.0000000000001203,0.05000000000001915,0.04858055312974535,0.10000000000220961,0.10000000000057661
Brasil,AL,Estado,2020-04-17,29.93510685410969,1.9999999999996823,2.827168102630197,1.0000000000011318,0.05000000000101836,0.024779235879810135,0.10000000000311797,0.10000000000003542
Brasil,SE,Estado,2020-04-22,53.8136249146209,1.9999999999982583,7.398983037042,1.0000000000005769,0.05000000000061487,0.023832504681673482,0.10000000000240358,0.10000000000003936
Brasil,BA,Estado,2020-03-26,217.17676649708304,1.9999999999996152,8.96296038862768,1.0000000000000346,0.050000000000032185,0.020176944457033896,0.10000000000000993,0.10000000000001101
Brasil,MG,Estado,2020-03-23,1221.3546963264985,1.999999999999924,9.99999999999971,1.0000000000007996,0.050000000000065874,0.07288544946052289,9.999999999789763,9.99999999993117
Brasil,ES,Estado,2020-04-02,66.61972689267407,1.9999999999993763,1.0759814829888015,1.0000000000000313,0.05000000000083655,0.022952937538939264,0.10000000000295801,0.10000000000021954
Brasil,RJ,Estado,2020-03-20,53.05645316639484,1.9999999999999805,2.3631883538794383,1.0000000000003861,0.050000000000139,0.06425945392869055,0.10000000000022354,0.10000000000010346
Brasil,SP,Estado,2020-03-15,76.96995774059887,1.9999999999999347,5.284151282912661,1.0000000000000102,0.05000000000000839,0.034071574028714295,0.10000000000034263,0.1000000000000677
Brasil,PR,Estado,2020-03-26,295.9023727120197,1.9999999999989633,2.1470118929173783,1.000000000000408,0.050000000000094164,0.02094526871780264,0.10000000000006534,0.10000000000076188
Brasil,SC,Estado,2020-03-24,285.68089405230336,1.9999999999999514,3.213248700424121,1.0000000000000362,0.05000000000001585,0.011740872512355166,0.10000000000002524,0.10000000000000167
Brasil,RS,Estado,2020-03-25,253.4563275013492,1.999999999999785,1.8746131354607276,1.0000000000000062,0.05000000000002557,0.021748897367304162,0.10000000000026574,0.10000000000032212
Brasil,MS,Estado,2020-04-12,1215.2096613254498,1.9999999999998004,9.99999999996783,1.0000000000038587,0.050000000000131925,0.0428174680403193,9.999999999529841,9.999999999996485
Brasil,MT,Estado,2020-04-09,166.40968296707985,1.999999999996765,0.6737710563295932,1.0000000000000293,0.05000000000086615,0.02635469984873723,0.10000000000150694,0.10000000000030411
Brasil,GO,Estado,2020-04-04,204.79525332221658,1.99999999999912,2.1155366058463745,1.000000000000048,0.05000000000018626,0.023156407104432043,0.10000000000007575,0.10000000000105995
